epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,78.4844,1.01547,0.78093,0.96703,0.74948,0.52696,0.66658,0.39907,1.4151,1.09873,1.16729,0.00133175,0.00133175,0.00133175
137,79.0371,1.21932,0.91089,1.0362,0.74948,0.52696,0.66658,0.39907,1.4151,1.09873,1.16729,0.0013268,0.0013268,0.0013268
138,79.6364,1.09851,0.85399,0.99904,0.63969,0.55481,0.65082,0.39423,1.41396,1.09532,1.15244,0.00132185,0.00132185,0.00132185
139,80.1556,1.05322,0.83543,1.00319,0.63969,0.55481,0.65082,0.39423,1.41396,1.09532,1.15244,0.0013169,0.0013169,0.0013169
140,80.7351,1.05759,0.7878,0.99508,0.53283,0.625,0.63184,0.38424,1.40092,1.10291,1.13638,0.00131195,0.00131195,0.00131195
141,81.2929,1.1408,0.87441,1.01416,0.53283,0.625,0.63184,0.38424,1.40092,1.10291,1.13638,0.001307,0.001307,0.001307
142,81.8852,1.19404,0.88543,1.01256,0.64142,0.55682,0.63454,0.37995,1.40255,1.11401,1.12565,0.00130205,0.00130205,0.00130205
143,82.4247,1.07827,0.82087,0.99358,0.64142,0.55682,0.63454,0.37995,1.40255,1.11401,1.12565,0.0012971,0.0012971,0.0012971
144,83.0059,1.17275,0.82387,1.0017,0.59172,0.61364,0.63622,0.35858,1.46442,1.13481,1.14842,0.00129215,0.00129215,0.00129215
145,83.6062,1.13805,0.86973,0.99131,0.59172,0.61364,0.63622,0.35858,1.46442,1.13481,1.14842,0.0012872,0.0012872,0.0012872
146,84.1705,1.06639,0.85333,0.99335,0.69223,0.61932,0.65759,0.39351,1.40748,1.06573,1.13741,0.00128225,0.00128225,0.00128225
147,84.755,1.10449,0.835,0.97612,0.69223,0.61932,0.65759,0.39351,1.40748,1.06573,1.13741,0.0012773,0.0012773,0.0012773
148,85.3371,1.01885,0.79403,0.97314,0.76563,0.57955,0.6948,0.41297,1.37017,1.03503,1.14488,0.00127235,0.00127235,0.00127235
149,85.8939,1.03851,0.78829,0.97338,0.76563,0.57955,0.6948,0.41297,1.37017,1.03503,1.14488,0.0012674,0.0012674,0.0012674
150,86.4601,1.10902,0.79376,0.98163,0.73945,0.61932,0.68776,0.41447,1.35767,1.04236,1.13185,0.00126245,0.00126245,0.00126245
151,87.009,1.01449,0.76497,0.96778,0.73945,0.61932,0.68776,0.41447,1.35767,1.04236,1.13185,0.0012575,0.0012575,0.0012575
152,87.6078,1.07939,0.78415,0.98295,0.68738,0.58719,0.66311,0.41323,1.36616,1.05842,1.13259,0.00125255,0.00125255,0.00125255
153,88.1465,1.03605,0.80184,0.99313,0.68738,0.58719,0.66311,0.41323,1.36616,1.05842,1.13259,0.0012476,0.0012476,0.0012476
154,88.7331,1.00303,0.74265,0.95948,0.67383,0.53996,0.64061,0.39087,1.41679,1.11968,1.16127,0.00124265,0.00124265,0.00124265
155,89.2774,1.03739,0.78521,0.99571,0.67383,0.53996,0.64061,0.39087,1.41679,1.11968,1.16127,0.0012377,0.0012377,0.0012377
156,89.8455,1.12349,0.79602,0.99401,0.66962,0.54126,0.61781,0.36832,1.42077,1.25317,1.15298,0.00123275,0.00123275,0.00123275
157,90.4089,1.06852,0.76884,0.97697,0.66962,0.54126,0.61781,0.36832,1.42077,1.25317,1.15298,0.0012278,0.0012278,0.0012278
158,90.9654,1.01603,0.75113,0.97433,0.64652,0.54545,0.60572,0.35928,1.40567,1.2314,1.14254,0.00122285,0.00122285,0.00122285
159,91.4931,1.00158,0.74079,0.95317,0.64652,0.54545,0.60572,0.35928,1.40567,1.2314,1.14254,0.0012179,0.0012179,0.0012179
160,92.077,1.0537,0.76248,0.97694,0.6696,0.51705,0.62769,0.38413,1.37954,1.11051,1.13742,0.00121295,0.00121295,0.00121295
161,92.6469,1.05142,0.77042,0.97475,0.6696,0.51705,0.62769,0.38413,1.37954,1.11051,1.13742,0.001208,0.001208,0.001208
162,93.2278,1.02723,0.75793,0.98467,0.63888,0.59659,0.64475,0.37718,1.42992,1.10145,1.16014,0.00120305,0.00120305,0.00120305
163,93.7848,1.05729,0.76444,0.98479,0.63888,0.59659,0.64475,0.37718,1.42992,1.10145,1.16014,0.0011981,0.0011981,0.0011981
164,94.3532,0.97753,0.69411,0.96058,0.67803,0.55682,0.6523,0.38548,1.43241,1.12322,1.17146,0.00119315,0.00119315,0.00119315
165,94.8993,1.10045,0.79421,0.9944,0.67803,0.55682,0.6523,0.38548,1.43241,1.12322,1.17146,0.0011882,0.0011882,0.0011882
166,95.4519,0.97465,0.7278,0.97445,0.70403,0.52841,0.63376,0.38715,1.38441,1.14565,1.14892,0.00118325,0.00118325,0.00118325
167,95.9998,0.99827,0.76978,0.98219,0.70403,0.52841,0.63376,0.38715,1.38441,1.14565,1.14892,0.0011783,0.0011783,0.0011783
168,96.5807,0.99431,0.76367,0.95463,0.63459,0.60192,0.65124,0.3803,1.41293,1.02977,1.16504,0.00117335,0.00117335,0.00117335
169,97.1185,1.00881,0.72329,0.96645,0.63459,0.60192,0.65124,0.3803,1.41293,1.02977,1.16504,0.0011684,0.0011684,0.0011684
170,97.7041,0.93144,0.6945,0.94999,0.62431,0.66477,0.65386,0.38222,1.41868,1.02566,1.17411,0.00116345,0.00116345,0.00116345
171,98.2512,1.03435,0.73086,0.95707,0.62431,0.66477,0.65386,0.38222,1.41868,1.02566,1.17411,0.0011585,0.0011585,0.0011585
172,98.8381,0.98211,0.71907,0.96646,0.63051,0.61364,0.64321,0.36463,1.43051,1.06322,1.18019,0.00115355,0.00115355,0.00115355
173,99.366,0.97169,0.7202,0.93457,0.63051,0.61364,0.64321,0.36463,1.43051,1.06322,1.18019,0.0011486,0.0011486,0.0011486
174,99.9367,0.99287,0.79343,0.9781,0.53934,0.60227,0.59441,0.34876,1.4171,1.20918,1.15409,0.00114365,0.00114365,0.00114365
175,100.487,0.97269,0.69537,0.96163,0.53934,0.60227,0.59441,0.34876,1.4171,1.20918,1.15409,0.0011387,0.0011387,0.0011387
176,101.055,0.95166,0.7042,0.95577,0.56594,0.56818,0.59347,0.35681,1.37821,1.27841,1.13335,0.00113375,0.00113375,0.00113375
177,101.623,0.99198,0.71928,0.97014,0.56594,0.56818,0.59347,0.35681,1.37821,1.27841,1.13335,0.0011288,0.0011288,0.0011288
178,102.203,1.03302,0.77111,0.97727,0.58765,0.56818,0.59387,0.35914,1.37759,1.32213,1.12707,0.00112385,0.00112385,0.00112385
